Word	FREQcount 	CDcount 	FREQlow 	Cdlow	SUBTLWF	Lg10WF
그	237241					5.3752
수	229112					5.3600
있는	185133					5.2675
이	167958					5.2252
있다.	143988					5.1583
한	122265					5.0873
것이다.	89254					4.9506
것은	85594					4.9324
그러나	81636					4.9119
것이	80936					4.9081
대한	75574					4.8784
하는	75356					4.8771
할	71997					4.8573
등	65527					4.8164
같은	64525					4.8097
또	64108					4.8069
나는	60551					4.7821
"있다.
"	59892					4.7774
것을	57739					4.7615
그리고	53747					4.7304
한다.	53634					4.7294
그는	53535					4.7286
더	50778					4.7057
하고	49749					4.6968
때	49700					4.6964
있었다.	49584					4.6954
우리	49577					4.6953
"
"	49184					4.6918
없는	48724					4.6878
것으로	48111					4.6823
다른	46641					4.6688
두	44812					4.6514
때문에	43949					4.6430
것	43650					4.6400
그런	42695					4.6304
이런	41923					4.6225
다시	41150					4.6144
위해	38491					4.5854
"것이다.
"	37298					4.5717
어떤	36862					4.5666
내	36593					4.5634
그의	36185					4.5585
잘	35897					4.5551
가장	35044					4.5446
함께	34937					4.5433
내가	33506					4.5251
안	33053					4.5192
따라	32333					4.5097
아니라	32277					4.5089
모든	31934					4.5043
했다.	31897					4.5038
많은	31056					4.4922
큰	31056					4.4922
있을	31042					4.4920
모두	30475					4.4840
이러한	28897					4.4609
다	27934					4.4461
될	27642					4.4416
및	27377					4.4374
없다.	27210					4.4347
게	26957					4.4307
바로	26768					4.4276
어느	26728					4.4270
지난	26383					4.4213
이렇게	26226					4.4187
대해	26202					4.4184
어떻게	26096					4.4166
있다는	25718					4.4103
위한	25535					4.4072
통해	25384					4.4046
않고	24760					4.3938
많이	24339					4.3863
것도	24278					4.3852
데	23701					4.3748
특히	23683					4.3745
볼	23552					4.3720
말을	23341					4.3681
그렇게	23185					4.3652
사람이	22899					4.3598
여러	22826					4.3584
된	22569					4.3535
그래서	22426					4.3508
하지만	22239					4.3471
된다.	22237					4.3471
되는	21992					4.3423
우리는	21938					4.3412
또한	21695					4.3364
등을	21687					4.3362
이미	21658					4.3356
없이	21232					4.3270
또는	21217					4.3267
자신의	21085					4.3240
그것은	21069					4.3237
같이	20976					4.3217
새로운	20851					4.3191
지금	20479					4.3113
경우	20234					4.3061
"말했다.
"	20171					4.3047
그런데	20160					4.3045
않는	19943					4.2998
않은	19810					4.2969
몇	19783					4.2963
일이	19638					4.2931
따라서	19625					4.2928
이를	18947					4.2776
물론	18846					4.2752
전	18831					4.2749
수가	18823					4.2747
가지고	18785					4.2738
동안	18627					4.2702
"한다.
"	18588					4.2693
그가	18570					4.2688
이제	18254					4.2614
좀	18036					4.2562
때문이다.	17990					4.2551
보고	17960					4.2543
/	17772					4.2498
중	17702					4.2480
수도	17681					4.2475
없었다.	17550					4.2443
않았다.	17542					4.2441
되어	17509					4.2433
가지	17485					4.2427
보면	17224					4.2362
뒤	17024					4.2311
있다고	17012					4.2308
더욱	16900					4.2279
좋은	16807					4.2255
속에	16685					4.2224
왜	16603					4.2202
역시	16510					4.2178
온	16509					4.2177
무슨	16487					4.2172
우리가	16311					4.2125
등의	16159					4.2084
자기	16141					4.2080
있어	15995					4.2040
이에	15869					4.2006
즉	15839					4.1998
못	15781					4.1982
제	15682					4.1954
아니다.	15534					4.1913
말했다.	15460					4.1892
줄	15376					4.1869
하지	15334					4.1857
후	15269					4.1838
크게	15253					4.1834
알	15251					4.1833
사람은	15207					4.1821
너무	15173					4.1811
들어	15124					4.1797
등이	14984					4.1757
곧	14974					4.1754
일을	14933					4.1742
않을	14855					4.1719
이번	14810					4.1706
이후	14772					4.1695
먼저	14766					4.1693
있던	14641					4.1656
거의	14352					4.1569
속에서	14188					4.1520
미국	14162					4.1512
우리의	14158					4.1510
가운데	14050					4.1477
"했다.
"	13983					4.1456
사람들이	13937					4.1442
서로	13837					4.1411
최근	13829					4.1408
현재	13646					4.1350
채	13583					4.1330
중요한	13325					4.1247
알고	13325					4.1247
해서	13251					4.1223
있습니다.	12968					4.1129
한국	12923					4.1114
이는	12905					4.1108
얼마나	12893					4.1104
그녀는	12708					4.1041
하면	12627					4.1013
말이	12601					4.1004
되었다.	12595					4.1002
그것을	12539					4.0983
아주	12522					4.0977
서울	12512					4.0974
"있었다.
"	12491					4.0966
결국	12460					4.0956
그것이	12436					4.0947
의해	12434					4.0946
있고	12236					4.0877
일본	12195					4.0862
나를	12103					4.0829
다음	12092					4.0825
갖고	11992					4.0789
관한	11923					4.0764
한다는	11915					4.0761
때는	11915					4.0761
오히려	11911					4.0760
해	11904					4.0757
나의	11888					4.0751
당시	11833					4.0731
해도	11790					4.0716
이상	11732					4.0694
-	11715					4.0688
이날	11677					4.0674
난	11623					4.0654
세	11550					4.0626
하나의	11499					4.0607
가는	11403					4.0571
아직	11342					4.0547
전에	11306					4.0533
그대로	11215					4.0498
매우	11201					4.0493
보는	11156					4.0475
사람의	11136					4.0468
주는	11110					4.0458
못한	11105					4.0456
아닌	11057					4.0437
각	11039					4.0430
이것은	11035					4.0428
저	10998					4.0414
것이었다.	10988					4.0410
작은	10987					4.0409
문제가	10943					4.0392
사람들은	10940					4.0391
하여	10878					4.0366
위에	10862					4.0359
앞으로	10770					4.0323
있어서	10758					4.0318
:	10734					4.0308
않는다.	10646					4.0272
직접	10609					4.0257
"있고,"	10556					4.0235
하나	10543					4.0230
있기	10526					4.0223
눈을	10524					4.0222
못하고	10520					4.0221
이와	10504					4.0214
수밖에	10462					4.0197
말	10430					4.0183
높은	10342					4.0146
만큼	10230					4.0099
사는	10226					4.0097
혹은	10207					4.0089
그들은	10146					4.0063
해야	10103					4.0045
수는	10078					4.0034
생각이	10068					4.0030
되고	10031					4.0014
전혀	9966					3.9986
문제를	9947					3.9977
우선	9929					3.9969
한번	9918					3.9965
번	9875					3.9946
건	9801					3.9913
정말	9801					3.9913
가진	9731					3.9882
손을	9678					3.9858
있었던	9649					3.9845
계속	9643					3.9843
생각을	9599					3.9823
것이라고	9566					3.9808
없을	9553					3.9802
사실을	9522					3.9788
자신이	9459					3.9759
본	9407					3.9735
세계	9401					3.9732
오는	9345					3.9706
두고	9297					3.9684
꼭	9280					3.9676
인간의	9175					3.9627
앞에	9138					3.9609
날	9122					3.9601
듯	9087					3.9585
제가	9071					3.9577
있게	9038					3.9561
지난해	9019					3.9552
새	8993					3.9540
"때,"	8993					3.9540
하였다.	8991					3.9539
사람	8977					3.9532
만들어	8850					3.9470
"밝혔다.
"	8830					3.9460
가서	8798					3.9444
김	8796					3.9443
그들의	8768					3.9430
스스로	8718					3.9405
제대로	8708					3.9400
한편	8694					3.9393
모습을	8678					3.9385
돈을	8674					3.9383
사람을	8627					3.9359
있지	8625					3.9358
그녀의	8609					3.9350
처음	8606					3.9349
동시에	8603					3.9347
미국의	8586					3.9338
없다는	8544					3.9317
사이에	8491					3.9290
것처럼	8466					3.9277
첫	8441					3.9264
이들	8439					3.9263
놓고	8434					3.9261
걸	8411					3.9249
몸을	8403					3.9245
그러한	8363					3.9224
받은	8344					3.9214
마치	8330					3.9207
받고	8324					3.9204
그를	8272					3.9177
나	8231					3.9155
정도로	8228					3.9153
등에	8207					3.9142
것입니다.	8165					3.9120
그냥	8114					3.9093
들고	8091					3.9081
않으면	8015					3.9040
앉아	8011					3.9037
고개를	7982					3.9022
각각	7971					3.9016
"하고,"	7939					3.8998
이야기를	7895					3.8974
서	7892					3.8972
국내	7876					3.8964
위해서는	7867					3.8959
"때문이다.
"	7851					3.8950
쉽게	7850					3.8949
이어	7821					3.8933
만든	7793					3.8918
적이	7782					3.8911
같다.	7774					3.8907
다만	7769					3.8904
영향을	7769					3.8904
의한	7757					3.8897
보다	7755					3.8896
올	7739					3.8887
"있으며,"	7671					3.8849
주로	7645					3.8834
되면	7605					3.8812
소리를	7599					3.8808
문제는	7598					3.8808
훨씬	7590					3.8803
일은	7565					3.8789
일부	7550					3.8780
집에	7542					3.8775
사실	7529					3.8768
필요한	7497					3.8749
중국	7493					3.8747
보이는	7451					3.8723
다양한	7437					3.8715
갑자기	7437					3.8715
오늘	7409					3.8698
누가	7400					3.8693
아무리	7400					3.8693
네	7377					3.8679
저는	7360					3.8669
것과	7357					3.8668
다음과	7349					3.8663
눈에	7300					3.8634
약	7299					3.8633
있도록	7297					3.8632
나와	7283					3.8624
"된다.
"	7279					3.8621
하며	7265					3.8613
소리가	7245					3.8601
위하여	7220					3.8586
대해서는	7213					3.8582
그때	7208					3.8579
얼굴을	7190					3.8568
년	7181					3.8562
젊은	7170					3.8556
대신	7158					3.8549
살	7156					3.8547
어려운	7147					3.8542
"없다.
"	7144					3.8540
달리	7139					3.8537
정도	7125					3.8528
앞에서	7079					3.8500
조금	7067					3.8493
결코	7063					3.8491
이들은	7050					3.8483
길을	7031					3.8471
싶은	7023					3.8466
