V1,V2,V3,V4
weaksubj,가격이 싸다,1,positive
strongsubj,가까스로,0,neutral
weaksubj,가까이 사귀어,1,positive
weaksubj,가까이하다,1,positive
weaksubj,가꾸러뜨리다,-1,negative
weaksubj,가꾸러트리다,-1,negative
strongsubj,가난,-2,negative
strongsubj,가난뱅이,-2,negative
strongsubj,가난살이,-2,negative
strongsubj,가난살이하다,-2,negative
strongsubj,가난설음,-2,negative
strongsubj,가난에,-2,negative
strongsubj,가난에 쪼들려서,-2,negative
strongsubj,가난하게,-2,negative
strongsubj,가난하고 어렵다,-2,negative
strongsubj,가난하고 천한,-2,negative
strongsubj,가난하다,-2,negative
strongsubj,가난하여,-2,negative
strongsubj,가난한,-2,negative
strongsubj,가난한 데다가,-2,negative
strongsubj,가난한 사람을,-2,negative
strongsubj,가난히,-2,negative
strongsubj,가년스럽다,-2,negative
weaksubj,가념하다,-1,negative
strongsubj,가녕스럽다,-2,negative
weaksubj,가누기 어려워하다,-1,negative
strongsubj,가누지 못하고,-2,negative
strongsubj,가누지 못하다,-2,negative
strongsubj,가누지 못할,-2,negative
strongsubj,가누지 못할 정도로,-2,negative
strongsubj,가누지 못함,-2,negative
strongsubj,가눌 수 없게,-2,negative
strongsubj,가눌 수 없을,-2,negative
strongsubj,가눌 수 없이,-2,negative
strongsubj,가능성이 늘어나다,2,positive
strongsubj,가능성이 있다고,2,positive
strongsubj,가능하다,2,positive
weaksubj,가닐가닐하다,-1,negative
weaksubj,가다듬어,1,positive
weaksubj,가다듬어 수습하는,1,positive
weaksubj,가다듬어 수습하다,1,positive
weaksubj,가다듬어 정하다,1,positive
strongsubj,가당찮다,-2,negative
strongsubj,가당찮이,-2,negative
weaksubj,가당히,1,positive
weaksubj,가두거나,-1,negative
strongsubj,가두거나 해치거나,-2,negative
weaksubj,가드올려,-1,negative
weaksubj,가뜬하게,1,positive
strongsubj,가라앉다,0,neutral
strongsubj,가라앉지 않은,0,neutral
weaksubj,가라앉혀 바로잡다,1,positive
weaksubj,가래,-1,negative
weaksubj,가래 따위가,-1,negative
weaksubj,가래가,-1,negative
weaksubj,가래가 섞인,-1,negative
weaksubj,가량맞고,-1,negative
weaksubj,가량맞고 야살스러운,-1,negative
weaksubj,가량맞고 야살스러움,-1,negative
weaksubj,가려서 좋아하다,-1,negative
weaksubj,가려운,-1,negative
weaksubj,가려운 느낌이,-1,negative
weaksubj,가려운 증상을,-1,negative
weaksubj,가련하게,-1,negative
weaksubj,가련하게 여기다,-1,negative
weaksubj,가련하게 여김,-1,negative
weaksubj,가련한,-1,negative
weaksubj,가련한 듯하다,-1,negative
weaksubj,가렵고,-1,negative
weaksubj,가로막아서,-1,negative
weaksubj,가로채서,-1,negative
weaksubj,가로채어,-1,negative
weaksubj,가르치며,1,positive
weaksubj,가르침,1,positive
strongsubj,가르침을 받아,0,neutral
weaksubj,가리지 못하다,-1,negative
strongsubj,가리지 않고,0,neutral
weaksubj,가마득하다,-1,negative
weaksubj,가만있지 못하고,-1,negative
weaksubj,가망 없는,-1,negative
strongsubj,가망이 없게,-2,negative
weaksubj,가벼운 마음으로,1,positive
weaksubj,가벼운 말이나,-1,negative
weaksubj,가벼운 상처,-1,negative
weaksubj,가벼운 슬픔,-1,negative
weaksubj,가벼운 행동으로,-1,negative
weaksubj,가볍게,-1,negative
weaksubj,가볍게 까부는,-1,negative
weaksubj,가볍게 까불다,-1,negative
weaksubj,가볍게 쑤시듯,-1,negative
weaksubj,가볍게 웃다,1,positive
weaksubj,가볍게 채신없이,-1,negative
weaksubj,가볍게 행동하거나,-1,negative
weaksubj,가볍게 행동하는,-1,negative
weaksubj,가볍게 행동하다,-1,negative
weaksubj,가볍고,1,positive
weaksubj,가볍고 보드랍게,1,positive
strongsubj,가볍고 상쾌하다,2,positive
strongsubj,가볍고 상쾌한,2,positive
strongsubj,가볍고 시원하게,2,positive
strongsubj,가볍고 편안하게,2,positive
strongsubj,가볍고 환하게,2,positive
weaksubj,가분가분,1,positive
weaksubj,가분히,1,positive
weaksubj,가뿐가뿐,1,positive
weaksubj,가뿐가뿐하다,1,positive
weaksubj,가뿐가뿐히,1,positive
weaksubj,가뿐하게,1,positive
weaksubj,가뿐하다,1,positive
weaksubj,가뿐한,1,positive
weaksubj,가뿐한 느낌,1,positive
weaksubj,가뿐한 느낌이,1,positive
weaksubj,가뿐히,1,positive
weaksubj,가쁘게,-1,negative
weaksubj,가쁘게 쉬다,-1,negative
weaksubj,가쁘고,-1,negative
weaksubj,가쁘고 거칠게,-1,negative
weaksubj,가쁘고 급하게,-1,negative
weaksubj,가쁜,-1,negative
weaksubj,가쁜 증상,-1,negative
weaksubj,가살스럽다,-1,negative
weaksubj,가소롭게,-1,negative
weaksubj,가소롭다,-1,negative
weaksubj,가스 중독이나,-1,negative
strongsubj,가슴 아파하다,-2,negative
strongsubj,가슴 아파함,-2,negative
strongsubj,가슴 아프게,-2,negative
strongsubj,가슴 아프고,-2,negative
strongsubj,가슴 아프다,-2,negative
strongsubj,가슴속에 근심이나,-2,negative
strongsubj,가슴앓이,-2,negative
strongsubj,가슴앓이하다,-2,negative
strongsubj,가슴이 갑갑할,-2,negative
strongsubj,가슴이 괴롭거나,-2,negative
strongsubj,가슴이 그득한,-2,negative
strongsubj,가슴이 답답하고,-2,negative
strongsubj,가슴이 답답하다,-2,negative
strongsubj,가슴이 답답하며,-2,negative
weaksubj,가슴이 답답하여,-1,negative
weaksubj,가슴이 답답한,-1,negative
weaksubj,가슴이 답답해진다,-1,negative
strongsubj,가슴이 아프다,-2,negative
strongsubj,가슴이 아픈,-2,negative
strongsubj,가슴이 울렁거리는,-2,negative
strongsubj,가슴이 울렁거리다,-2,negative
strongsubj,가슴이 찢어질,-2,negative
weaksubj,가습이 답답하고,-1,negative
weaksubj,가엽다,-1,negative
weaksubj,가엾게,-1,negative
weaksubj,가엾게 여겨,-1,negative
weaksubj,가엾게 여기다,-1,negative
weaksubj,가엾고,-1,negative
strongsubj,가엾고 불쌍하다,-2,negative
strongsubj,가엾고 불쌍하여,-2,negative
strongsubj,가엾고 불쌍한,-2,negative
strongsubj,가엾고 불쌍함,-2,negative
strongsubj,가엾고 애처롭다,-2,negative
weaksubj,가엾다,-1,negative
strongsubj,가운데에서 뛰어남,2,positive
weaksubj,가위눌리다,-1,negative
strongsubj,가음 아프고,-2,negative
strongsubj,가장 거룩한,2,positive
strongsubj,가장 뛰어나,2,positive
strongsubj,가장 뛰어난,2,positive
strongsubj,가장 올바르게,2,positive
strongsubj,가장 좋은,2,positive
weaksubj,가장 중요한,1,positive
weaksubj,가증맞다,-1,negative
weaksubj,가증스럽다,-1,negative
weaksubj,가지런하게 하는,1,positive
weaksubj,가지런하게 하다,1,positive
weaksubj,가지런하다,1,positive
weaksubj,가지런하지 아니하다,-1,negative
weaksubj,가지런하지 아니한,-1,negative
strongsubj,가짜,-2,negative
weaksubj,가책이 되어,-1,negative
weaksubj,가치,1,positive
strongsubj,가치 없는,-2,negative
strongsubj,가치 있는,2,positive
strongsubj,가치 있다,2,positive
weaksubj,가치가,1,positive
strongsubj,가치가 없다,-2,negative
strongsubj,가치가 없을,-2,negative
strongsubj,가치가 없이,-2,negative
strongsubj,가치가 있다,2,positive
strongsubj,가치를 믿다,2,positive
strongsubj,가치를 인정하다,2,positive
weaksubj,가치보다 비싼,-1,negative
strongsubj,가치없는,-2,negative
weaksubj,가치있는,1,positive
weaksubj,가치작거리는,-1,negative
weaksubj,가치작거리는 모양,-1,negative
weaksubj,가치작거리는 소리,-1,negative
weaksubj,가탈스럽다,-1,negative
strongsubj,가혹하게,-2,negative
strongsubj,가혹하게 착취하여,-2,negative
weaksubj,각근하지 못하여,-1,negative
weaksubj,각별나다,1,positive
weaksubj,각별하다,1,positive
strongsubj,간 장애,-2,negative
weaksubj,간 질환의,-1,negative
strongsubj,간드러진,2,positive
strongsubj,간드러진 느낌이,2,positive
weaksubj,간사스럽게,-1,negative
weaksubj,간사스럽게 행동하는,-1,negative
weaksubj,간사스럽게 행동하다,-1,negative
weaksubj,간사하고,-1,negative
weaksubj,간사하다,-1,negative
weaksubj,간사한,-1,negative
weaksubj,간사한 사람이나,-1,negative
strongsubj,간사한 짓을,-2,negative
weaksubj,간섭받고,-1,negative
weaksubj,간섭하거나,-1,negative
weaksubj,간섭하거나 방해하여,-1,negative
weaksubj,간섭하고,-1,negative
weaksubj,간섭하다,-1,negative
weaksubj,간섭하여,-1,negative
weaksubj,간신히 짜내는,-1,negative
strongsubj,간절하다,2,positive
weaksubj,간지러워서,-1,negative
weaksubj,간지럽게,-1,negative
weaksubj,간지럽고,-1,negative
weaksubj,간지럽고 자릿한,-1,negative
weaksubj,간직하다,1,positive
weaksubj,간직하지 아니하고,-1,negative
weaksubj,간질,-1,negative
